# Characterisation golden for render, probe, contours and CSV (#570).
# field	case	portable	exact
# Re-record: FIELDGLASS_UPDATE_GOLDEN=1 cargo test -p fieldglass-napi characterisation
# `portable` is asserted on every target; `exact` only on the recorded
# libm (ADR-0009). See src/characterisation.rs for what each column holds.
grib1/reduced_gg_n32.grib1#00	render/source/nearest	ok w=128 h=64 opaque=8192	d42302b18f89b820
grib1/reduced_gg_n32_smooth.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/reduced_gg_n32_smooth.grib1#00	meta	family=reduced_gaussian ni=128 nj=64 reprojectable=true	7285e001837fd4c1
grib1/reduced_gg_n32_smooth.grib1#00	render/equirectangular/nearest	ok w=720 h=360 opaque=259200	0836806ae2c89804
grib1/reduced_gg_n32_smooth.grib1#00	render/source/nearest	ok w=128 h=64 opaque=8192	5fe292891fbf6ebf
grib1/reduced_gg_second_order.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/reduced_gg_second_order.grib1#00	meta	family=reduced_gaussian ni=128 nj=64 reprojectable=true	7285e001837fd4c1
grib1/reduced_gg_second_order.grib1#00	render/equirectangular/nearest	ok w=720 h=360 opaque=259200	0836806ae2c89804
grib1/reduced_gg_second_order.grib1#00	render/source/nearest	ok w=128 h=64 opaque=8192	5fe292891fbf6ebf
grib1/reduced_gg_second_order_boust.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/reduced_gg_second_order_boust.grib1#00	meta	family=reduced_gaussian ni=128 nj=64 reprojectable=true	7285e001837fd4c1
grib1/reduced_gg_second_order_boust.grib1#00	render/equirectangular/nearest	ok w=720 h=360 opaque=259200	0836806ae2c89804
grib1/reduced_gg_second_order_boust.grib1#00	render/source/nearest	ok w=128 h=64 opaque=8192	5fe292891fbf6ebf
grib1/spectral_complex_t63.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/spectral_complex_t63.grib1#00	meta	family=latlon ni=720 nj=361 reprojectable=true	3bcef7e346021f7e
grib1/spectral_complex_t63.grib1#00	render/equirectangular/nearest	ok w=720 h=361 opaque=259920	50c7e83021fbebb6
grib1/spectral_complex_t63.grib1#00	render/source/nearest	ok w=720 h=361 opaque=259920	5e79355754c16ad8
grib1/spectral_simple_t63.grib1	file	parsed=true fields=1	fc2e3f9795c31b44
grib1/spectral_simple_t63.grib1#00	contours/equirectangular/auto	ok runs=16031 points=32062	ec15518ccca9fa69
grib1/spectral_simple_t63.grib1#00	contours/mollweide/auto	ok runs=16027 points=32054	5ec36c3c777e4aaf
grib1/spectral_simple_t63.grib1#00	contours/source/auto	ok runs=16031 points=32062	edebe72822a0de35
grib1/spectral_simple_t63.grib1#00	csv/long	ok rows=259921	79ecef35ea287600
grib1/spectral_simple_t63.grib1#00	csv/matrix	ok rows=361	ca814cb348eca165
grib1/spectral_simple_t63.grib1#00	meta	family=latlon ni=720 nj=361 reprojectable=true	3bcef7e346021f7e
grib1/spectral_simple_t63.grib1#00	probe/equirectangular/0,0	hit cell=0,0 geo=yes value=yes	4e4376ad23fd5fc9
